idUnified,Li,Na,K,Mg,Ca,Cl,SO4,HCO3,Temperature
113,6.15,2464,288,0.060001,67,4115,34,45.000001,246.2
114,6.16,2453,292,0.130001,76,4129,72,42.000001,233
115,6.17,2458,309,0.070001,71,4122,45,32.000001,240
116,6.19,2413,304,0.090001,69,4050,54,31.000001,241
117,6.2,570,85,7.460001,8.55,528,45,555.000001,277
118,6.23,2355,282,0.060001,72,3978,59,31.000001,236
119,6.26,2442,308,0.080001,62,4118,53,26.000001,244
120,6.28,2402,288,0.050001,67,3969,44,30.000001,239
121,6.29,2448,290,0.060001,87,4113,44,24.000001,239.1
122,6.29,2393,305,0.100001,67,4025,60,40.000001,235
123,6.3,510,80,1.000001,14,443,133,909.000001,100
124,6.3,580,80,1.000001,5,464,127,884.000001,135
125,6.34,2372,308,0.070001,66,3945,46,20.000001,239
126,6.39,2441,287,0.060001,64,4063,49,36.000001,240
127,6.4,790,90,0.050001,10,1310,86,,238
128,6.4,580,60,1.300001,4.3,443,119,669.000001,100
129,6.5,700,110,,2.4,475,126,623.000001,125
130,6.6,860,155,0.060001,10,1450,52,,240
131,6.6,580,80,,4.3,448,118,428.000001,110
132,6.69,2495,294,0.070001,60,4098,44,38.000001,247.5
133,7.6,3279,673,,239,6261,,39.300001,287
134,7.6,3568,766,0.180001,198,6613,,46.000001,293
135,7.8,1168,135,,38,2049,92,42.000001,220
136,8,716,143,0.070001,1.5,1188,5,87.000001,260
137,8,1335,45,,,1586,,,232
138,8.24,2485,308,0.090001,102,4325,40,23.000001,237
139,9.1,708,60,,,1211,13,45.000001,230
140,9.5,762,69,0.400001,6.8,1054,28,394.000001,209
141,9.5,910,142,0.050001,1.1,1244,11.5,553.000001,280
142,9.6,890,150,0.100001,2.1,1262,6,,250
143,9.6,910,142.5,0.050001,1.1,1244,11.5,134.000001,280
144,9.7,818,69,0.160001,5.4,1155,29,258.000001,220
145,10,1510,198,0.130001,2.8,1546,25,1820.000001,274
146,10,1000,224,0.007001,4.82,1778,5.5,115.000001,291
147,10.4,4051,823,0.150001,218,7153,,35.000001,286
148,10.4,876,78,0.130001,2.5,1211,25,458.000001,225
149,10.5,880,175,0.700001,2,1482,6,218.000001,297
150,10.7,900,78,1.400001,29,1658,20,,225
151,10.8,4500,828,1.100001,247,8100,,48.700001,275
152,10.8,1810,155,90.000001,418,3425,272,655.000001,137
153,10.9,1065,152,,4.6,1701,43,230.000001,278
154,11.1,1396,289,0.158001,9.9,,,,300
155,11.2,3750,816,0.260001,193,6873,,44.500001,290
156,11.2,4599,1278,0.090001,224,8733,1.9,28.900001,324
157,11.2,1110,237,0.180001,9,1985,4,250.000001,290
158,11.4,975,232,0.100001,3,1858,3.5,157.000001,273
159,11.4,1075,222,0.080001,2.9,1844,3.5,,260
160,11.5,1060,207,0.130001,5.7,1750,7.1,310.000001,298
161,11.7,1050,210,0.100001,2.2,,,,260
162,11.7,4128,960,0.140001,194,7463,,33.600001,302
163,11.7,3905,1016,0.040001,147,7179,5.1,37.900001,345
164,11.7,891,77,0.090001,2.5,1260,40,271.000001,224
165,11.7,1050,224,0.080001,2.2,1743,8,178.000001,287
166,11.8,1075,218,0.020001,3,1851,29,282.000001,273
167,11.8,4008,1000,0.070001,164,7273,1.9,46.900001,310
168,11.8,950,206,0.050001,2.5,1720,20.6,175.000001,272
169,12.2,1045,213,0.800001,3,1801,6,174.000001,281
170,12.2,1020,218,0.920001,7.3,1794,10,78.000001,271
171,12.3,4880,1087,0.290001,256,8945,,38.500001,299
172,12.4,3675,876,1.000001,268,6810,20,,100
173,12.4,1175,172,0.005001,24,2113,23,,233
174,12.6,980,200,0.015001,2.4,1668,6.5,162.000001,276
175,12.6,1300,192,0.020001,23,2140,33,,240
176,12.6,1320,150,,27,2106,22,,222
177,12.7,930,203,0.350001,2,1709,4,134.000001,294
178,13.1,4600,899,0.820001,231,8265,,33.300001,282
179,13.2,1250,210,0.040001,12,,,,250
180,13.2,4990,1110,,324,9179,,37.700001,297
181,13.2,1200,200,0.005001,17.5,2156,25,,247
182,13.4,1200,200,0.005001,20,2170,27,,249
183,13.5,5010,1573,0.300001,242,9994,1.5,16.400001,340
184,13.8,5094,1449,0.200001,243,9525,,25.100001,327
185,13.8,1275,223,0.070001,14,2222,30,,225
186,13.8,1300,220,0.005001,18,2215,35,,245
187,14,1480,132,0.570001,51,,,,205
188,14.2,4767,1092,0.210001,260,8856,,38.900001,300
189,14.2,1320,225,0.005001,17,2260,36,,244
190,14.5,6382,1551,0.600001,592,11918,,28.000001,292
191,14.9,4639,1446,0.130001,190,8508,,23.900001,339
192,15,20500,180,170.000001,1800,34500,16,356.000001,150
193,15,1800,380,0.290001,12.4,3110,33,181.000001,243
194,15,2000,400,0.290001,12.2,3260,32,181.000001,243
195,15,1300,234,0.013001,1.4,1823,6,910.000001,279
196,15.3,5472,1422,0.090001,332,10142,3,23.500001,315
197,15.4,6400,650,,,1348,,,137
198,15.5,6429,1176,18.600001,347,11735,15,303.000001,350
199,15.5,4828,849,0.850001,314,8591,,41.800001,271
200,15.7,5244,1172,0.240001,301,9557,,38.400001,297
201,15.9,5040,1170,0.210001,271,9252,,35.000001,302
202,16,1887.5,415,0.037001,47.7,3320.5,30,54.900001,279.85
203,16,2000,400,0.290001,12.2,3260,32,181.000001,243
204,16.5,4250,900,0.520001,306,8047,,42.900001,291
205,17,1725,395,0.024001,7.2,2928.1,34.5,74.400001,299.85
206,17,39839,6250,34.000001,20630,103000,12,76.000001,281
207,17.1,1900,111,1.300001,99,3048,177,111.000001,180
208,17.1,1900.7,421.9,0.037001,49.6,3565,25.3,56.200001,279.85
209,17.1,6267,1660,0.250001,299,11932,2.5,14.300001,318
210,19,1700,435,0.036001,5.2,3092.7,24,29.300001,299.85
211,20.3,1776,386.2,0.170001,47.8,3219,25,88.000001,279.85
212,21,1481,422.8,0.027001,7.2,2808.2,26.5,75.700001,299.85
213,22,1815,395,0.032001,45,3151.5,25,61.000001,279.85
214,22.7,1911.5,476.6,0.066001,34.5,3678,16.9,66.000001,279.85
215,22.9,8000,1900,0.500001,505,,,,295
216,23,1541,445.2,0.037001,5.6,2979.5,19.3,7.300001,299.85
217,23.2,1880,394,0.050001,48.3,3309.2,25.9,59.800001,279.85
218,23.8,1838,420,0.310001,53.5,3369.6,26.7,59.800001,279.85
219,25,2070,384,0.280001,11,,,,268
220,25,709,135,0.130001,2.1,1020,,,255
221,25.3,2320,461,2.000001,8,3860,72,232.000001,260
222,28,2340,419,,6.8,,,,268
223,28,4537,193,3.700001,228,7774,62,81.000001,229
224,28.3,1644,470,0.030001,8.9,3067,18.4,32.900001,299.85
225,28.5,1570,465,0.130001,7.1,2925,14.4,44.000001,299.85
226,28.5,1596,428,0.060001,10.2,2837,24.8,88.000001,299.85
227,28.5,1611,418,0.016001,7.5,2913,30,77.000001,299.85
228,29,1842,447,0.037001,23.7,3263,84.4,30.000001,291.85
229,29.5,1578,410,0.030001,10,2874.4,28.7,82.400001,299.85
230,29.5,1880,470,0.070001,31.9,3369.6,21,96.000001,279.85
231,30,1550,410,0.018001,8.2,3106,27.6,66.000001,299.85
232,30.2,4480,420,1.100001,270,7943,64,29.000001,211
233,30.5,1656,457,0.025001,7.2,3072,18.7,31.700001,299.85
234,31,37452,7273,37.000001,23928,106000,32,66.000001,265
235,31.1,3512,168,2.080001,268,6160,60,12.000001,253
236,31.3,2000,500,0.080001,28,3576,18.9,80.300001,279.85
237,31.5,1725,400,0.022001,8.4,2759,28.6,70.700001,299.85
238,31.6,3450,580,0.110001,146,6130,23,29.000001,240
239,33,2000,630,0.041001,7.3,3918,14.6,56.100001,323.85
240,33,13000,500,1500.000001,400,20000,2500,102.000001,344
241,33,11250,3060,0.600001,885,22160,75,,100
242,35,1950,570,0.041001,7.3,4021,12,44.800001,323.85
243,40,10600,1250,74.000001,1130,19700,651,1880.000001,200
244,42,5080,663,0.820001,272,9134,49,53.000001,226
245,43.9,4795,799,0.720001,253,8986,31,40.000001,236
246,44,5000,684,1.000001,280,8360,45,65.000001,212
247,44.9,4900,825,0.150001,208,8716,32,41.000001,240
248,45,9130,1180,15.200001,1020,,,,190
249,45.1,4850,778,0.240001,163,8450,62,69.000001,247
250,45.2,4840,830,0.160001,211,8790,30,40.000001,250
251,128,41200,6600,95.000001,17900,,,,230
252,135,42700,6500,99.000001,18200,,,,215
253,141,42000,8600,80.000001,20000,,,,215
254,210,53000,16500,10.000001,28800,,,,300
255,215,50400,17500,54.000001,28000,155000,5,,340
256,,100.5,6.1,0.047001,1.26,40.9,69.5,,152
257,,185.4,13.1,5.650001,24.2,107.7,83.1,,160
258,,62.6,1.62,0.042001,1.54,24,28.2,,86
259,,159.6,4.58,0.150001,30.3,246.7,53.5,,90
260,,136.1,2.88,1.00E-06,11.3,171.7,67.6,,68
261,,93.7,1.75,0.026001,4.56,57.5,90,,92
262,,34,0.74,0.079001,2.34,14.2,12.7,,75
263,,42.1,1.08,0.060001,2.08,10.5,17.1,,85
264,,41.6,1.71,0.075001,2.03,18.4,13.6,,93
265,,57.1,2.6,0.024001,2.56,36.4,19.4,,130
266,,355.5,10,0.100001,139,670.8,204.8,,126
