idUnified,Li,Na,K,Mg,Ca,Cl,SO4,HCO3,Temperature
507,,365,12.6,2.900001,27.5,,,,120
508,,184,51,32.000001,3,,,,120
509,,1948,170,0.500001,92,,,,200
510,,6274,1831,0.400001,182,,,,330
511,,2090,195,0.260001,176,,,,203
512,,3500,867,0.170001,139,,,,303
513,,650,150,0.250001,4,,,,315
514,,47,16,27.000001,73,,,,240
515,,833,159,0.470001,16,1404,87,,272
516,,1061,182,0.150001,19,1819,60,,254
517,,1202,210,0.350001,27,2057,73,,252
518,,767,99,0.110001,18,1255,68,,220
519,,832,133,0.110001,18,1387,90,,254
520,,234,126,0.170001,27,313,215,,172
521,,78,36,,85,39,,,132
522,,233,35,,54,258,217,,135
523,,175,16,,1.5,113,39,,192
524,,1570,285,,3.6,2640,49,215.000001,294
525,,1560,280,,3.7,2670,49,190.000001,297
526,,1550,255,,3.5,2501,49,221.000001,278
527,,1540,255,0.200001,4.3,2594,47,236.000001,279
528,,1950,330,,13.6,3257,45,89.000001,267
529,,1910,350,,14.2,3302,37,75.000001,326
530,,1920,310,,13.1,3340,48,139.000001,223
531,,1870,230,,17.2,3151,48,89.000001,260
532,,1850,235,,17.1,3128,48,90.000001,261
533,,462119.1,64127.28,145.830001,,,,,160
534,,475913.7,43403.22,72.915001,,,,,140
535,,452922.7,59435.04,121.525001,,,,,165
536,,464418.2,51614.64,121.525001,,,,,145
537,,475913.7,66473.4,97.220001,,,,,155
538,,565578.6,61781.16,145.830001,,,,,150
539,,478212.8,56697.9,413.185001,,,,,140
540,,2150,390,0.600001,9.2,3650,78,,268
541,,1900,216,4.000001,107,2882,85,615.000001,204
542,,147,12.9,0.002001,1.67,106,42.1,,181
543,,159,21,0.004001,1.32,32,166,,215
544,,162,19.5,0.007001,1.54,170,32.2,,225
545,,145,21.4,0.004001,1.2,31.6,153,,240
546,,6382,989,1.290001,1066,13507,32.2,,240
547,,131,20.3,0.072001,3.83,22.2,41.3,,246
548,,9594,1480,1.240001,1467,19648,24.4,,267
549,,105,20.9,0.011001,1.07,223.4,67.6,,300
550,,150,30.1,0.010001,0.08,39,10.1,,300
551,,79.1,18.8,0.175001,0.78,68,3.67,,312
552,,76.2,6.36,0.001001,0.06,18.8,30.7,,320
553,,111,20.2,0.040001,0.14,48.8,11.8,,340
554,,1400,148,,,122,,,212
555,,1510,116,,,1790,,,106
556,,670,66,,,243,,,105
557,,79,2.02,0.002001,1.69,24.8,52.2,,100
558,,474,11.2,0.204001,560,1458,256,,114
559,,387.2,17.2,0.013001,69.4,795,119.6,,120
560,,56.1,2.13,0.072001,2.79,33.5,14.8,,124
561,,208.7,10.6,0.032001,2.42,333.2,60.3,,145
562,,98.4,5.21,0.029001,1.23,51.7,57,,147
563,,5900,293,100.000001,11600,37000,1195,,200
564,,2740,500,0.220001,2.75,2890,1380,,238
565,,2240,320,1.200001,17.3,2940,360,,209
566,,1760,285,1.100001,15.3,1840,585,,200
567,,1698,342,14.800001,25.4,1531,1150,,120
568,,2360,153,3.500001,23.6,3315,157,,186
569,,2120,286,2.600001,12,3000,250,,187
570,,2370,221,0.060001,11.2,3230,206,,300
571,,2090,195,0.080001,152,3230,106,,200
572,,1008,252,0.030001,116,2750,249,,298
573,,1896,391,2.600001,27.6,1721,1289,,187
574,,4800,297,,117,,,,200
575,,15000,2480,,2520,,,,230
576,,25000,5000,,11000,,,,240
577,,39280,5000,,11000,,,,240
578,,64000,14700,,30400,,,,285
579,,41400,11800,,20900,,,,295
580,,46200,12500,,22800,,,,300
581,,60000,20300,,30400,,,,300
582,,68925,20300,,30400,,,,300
583,,47000,14000,,21200,,,,300
584,,70000,24000,,34470,,,,305
585,,77000,24000,,34470,,,,305
586,,50900,16700,,31900,,,,305
587,,53000,16500,,27800,,,,320
588,,74700,21900,,39700,,,,320
589,,53700,17100,,26300,,,,320
590,,54800,17700,,28500,,,,330
591,,62800,20800,,31500,,,,340
592,,1525,203,0.050001,0.53,132,526,,242
593,,1550,140,0.240001,1.8,140,772,,202
594,,1282,144,0.150001,0.47,100,504,,202
595,,1355,45,16.000001,50,1586,37,,203
596,,1830,189,0.100001,1.6,1359,71,,231
597,,1775,170,0.500001,1.6,1818,74,,230
598,,1420,135,1.700001,12,1500,37,,213
599,,1387,128,6.800001,8.4,1454,46,,221
600,,1775,180,0.100001,3.6,1882,64,,221
601,,1100,132,6.100001,19,855,51,,203
602,,1550,15,243.000001,8,1528,45,,220
603,,1750,105,1.200001,4.8,1819,133,,224
604,,4435,700,,,,,,213
605,,4435,700,,,,,,212.1
606,,4435,700,,,,,,211.8
607,,4400,740,,,,,,217.5
608,,4400,740,,,,,,218.3
609,,4400,740,,,,,,227.3
610,,4400,740,,,,,,238.3
611,,5500,1000,,,,,,250
612,,4900,770,,,,,,195.4
613,,4900,770,,,,,,200
614,,4900,770,,,,,,219.3
615,,3260,387,,,,,,152.4
616,,3260,387,,,,,,162.3
617,,9610,1348,16.000001,1530,19260,30.8,2670.000001,277
618,,947,13.6,,,18,31,2484.000001,173
619,,675,157,0.100001,1,310,282,830.000001,315
620,,758,230,0.500001,5,479,473,375.000001,231
621,,1060,148,0.500001,6,720,168,1300.000001,208
622,,934,150,0.200001,6,454,204,1442.000001,335
623,,670,53,0.400001,6,550,73,536.000001,271
624,,89,20,0.200001,1,21,6,208.000001,110
625,,1015,138,0.400001,3.8,671,131,1647.000001,233
626,,688,223,0.300001,0.8,459,372,854.000001,235
627,,854,47,0.600001,2.6,302,31,1769.000001,226
628,,34.2,3.8,0.140001,9.7,18.2,17.8,83.400001,240
629,,79,6.7,0.290001,2.8,37,35.9,176.000001,240
630,,370,34,0.600001,2.6,260,130,359.000001,170
631,,360,33,0.600001,2.5,250,120,358.000001,175
632,,369,43,0.200001,7.4,280,159,376.000001,202
633,,78000,1065,1140.000001,10250,143000,6.4,450.000001,117
634,,40000,265,270.000001,1860,67900,220,1050.000001,114
635,,54800,6500,3350.000001,33900,170000,161,197.000001,118
636,,1004,66,6.000001,22.5,248,200,2000.000001,115
637,,1004,66,6.000001,22.5,248,200,2000.000001,117
638,,452922.7,59435.04,243.050001,3607.2,524689.6,,,165
639,,600,90,1.500001,5,468,172,799.000001,120
640,,154,16.8,48.200001,65.4,65.7,84,714.000001,126
641,,380,23,7.100001,1.4,282,166,390.000001,148
642,,229,17.9,6.100001,5.8,64.6,85,487.000001,102
643,,175,7,0.150001,5.3,153,33,151.300001,120
644,,75000,1250,1300.000001,6690,132200,465,240.000001,123
645,,387.5,19.6,0.070001,67.1,658.5,122.5,,134
646,,386,19,0.020001,74,634,121,,116
647,,355.5,10,0.100001,139,670.8,204.8,,144
648,,597,14,0.380001,523,1617,305,,117
649,,118,12.1,0.060001,9.5,96,53,165.000001,175
650,,174,11.8,0.880001,45,185,41,300.000001,129
651,,1190,238,,2.46,1952,91,,220
652,,1481,218,0.154001,1.48,1300,105,,220
653,,1465,211,0.008001,1.24,1173,85,,220
654,,1473,218,0.007001,0.54,1966,95,,230
655,,1473,218,0.007001,0.54,1966,95,,249
656,,1634,275,,0.62,2027,96,,230
657,,1606,225,,0.48,1941,93,,230
658,,1606,225,,0.48,1941,93,,253
659,,1544,217,0.142001,0.43,2027,97,,230
660,,1544,217,0.142001,0.43,2027,97,,266
661,,1390,201,0.022001,0.47,1084,89,,233
662,,1412,199,,0.39,1238,116,,233
663,,1395,216,,0.14,1232,114,,233
664,,1411,215,,0.42,1138,98,,238
665,,1725,265,0.007001,0.59,2242,120,,240
666,,1725,265,0.007001,0.59,2242,120,,269
667,,1633,263,0.014001,0.81,2228,120,,275
668,,1714,281,0.007001,0.92,2612,143,,275
669,,1547,272,,0.67,2189,117,,291
670,,1576,256,,1.46,2190,145,,240
671,,1576,255,,1.46,2189,145,,254
672,,1464,257,0.007001,1.46,1743,133,,240
673,,1636,245,0.007001,1.54,2364,150,,240
674,,1636,245,0.007001,1.54,2364,150,,254
675,,1689,250,0.007001,1.83,2254,145,,240
676,,1688,250,0.007001,1.83,2253,145,,261
677,,1220,116,0.360001,1.2,124,560,1586.000001,196
678,,1300,138,0.250001,2,128,773,1525.000001,195
679,,1410,152,0.200001,1.2,144,737,2403.000001,207
680,,1340,138,0.150001,1.2,140,730,1464.000001,205
681,,1400,148,0.240001,3.2,136,714,1525.000001,211
682,,1375,140,0.150001,1.6,140,710,1159.000001,201
683,,1325,131,0.240001,1.8,140,710,1220.000001,202
684,,1275,140,0.240001,1.2,136,729,1586.000001,202
685,,1556,245,0.230001,2.67,134,792,3074.000001,242
686,,1240,120,1.200001,2,112,727,1335.000001,171
687,,750,75,12.000001,12,76,1350,446.000001,190
688,,398,17.8,0.021001,73.2,743,121,,136
689,,152,12.4,0.064001,2.51,131.3,41.7,,182
690,,167,12.5,0.001001,2.26,130.4,40.9,,184
691,,177,18.2,0.001001,2.3,185.2,33.7,,216
692,,207,14.4,0.010001,1.98,28.9,196,,193
693,,196.8,31.8,0.010001,1.7,37,139.4,,245
694,,187.4,25.4,0.001001,1.5,46.6,124.2,,290
695,,163.4,32.7,0.032001,0.47,69.4,3.68,,310
696,,203,24.2,0.054001,3,24.1,249,,195
697,,206,25.7,0.047001,2.55,24.4,232.7,,203
698,,230.9,27.6,0.004001,2.26,26.5,209.2,,215
699,,10025,1230,,555,17710,,,240
700,,12589,2342,,1281,22810,,,305
701,,5090,1180,,480,10200,,,315
702,,1325,131,0.240001,1.8,140,710,,202
703,,1275,140,0.240001,1.2,136,729,,202
704,,160,11.05,0.002001,1.62,130.17,43.5,,169
705,,160,12.25,0.003001,1.86,135.67,42.34,,168
706,,189,9.2,0.007001,2.08,124,70.3,,178
707,,167,12.7,,2.05,132,41.5,,181
